performance,problem,model,algorithm,n_qubits
0.5939166666666668,Max-Cut,Random,,5
0.9937265499999995,Max-Cut,Classical,,5
0.604623015873016,Max-Cut,Random,,6
0.9823145817460316,Max-Cut,Classical,,6
0.6370927128427127,Max-Cut,Random,,7
0.9779537451298704,Max-Cut,Classical,,7
0.6474963508713507,Max-Cut,Random,,8
0.9709220182345436,Max-Cut,Classical,,8
0.6589422350525296,Max-Cut,Random,,9
0.9622446236159266,Max-Cut,Classical,,9
0.676644780078023,Max-Cut,Random,,10
0.9661539100495865,Max-Cut,Classical,,10
0.8921403371445333,Max-Cut,Ideal,QAOA,5
0.8710621410931902,Max-Cut,Ideal,QAOA,6
0.8710808803038367,Max-Cut,Ideal,QAOA,7
0.8627473214719149,Max-Cut,Ideal,QAOA,8
0.8608086135659541,Max-Cut,Ideal,QAOA,9
0.8621681808422886,Max-Cut,Ideal,QAOA,10
0.8335893902131807,Max-Cut,Noisy,QAOA,5
0.8041731808987898,Max-Cut,Noisy,QAOA,6
0.8032743632804367,Max-Cut,Noisy,QAOA,7
0.7887784967520316,Max-Cut,Noisy,QAOA,8
0.7802169420549518,Max-Cut,Noisy,QAOA,9
0.7781296790375585,Max-Cut,Noisy,QAOA,10
0.9784961361231748,Max-Cut,Ideal,WSQAOA,5
0.9657958836565717,Max-Cut,Ideal,WSQAOA,6
0.9615147158122048,Max-Cut,Ideal,WSQAOA,7
0.9544894644482121,Max-Cut,Ideal,WSQAOA,8
0.9432988182156119,Max-Cut,Ideal,WSQAOA,9
0.9456484983652331,Max-Cut,Ideal,WSQAOA,10
0.8934747396687306,Max-Cut,Noisy,WSQAOA,5
0.8708312972862611,Max-Cut,Noisy,WSQAOA,6
0.8562313777289827,Max-Cut,Noisy,WSQAOA,7
0.8407326941781398,Max-Cut,Noisy,WSQAOA,8
0.8287007682286124,Max-Cut,Noisy,WSQAOA,9
0.8250448013886469,Max-Cut,Noisy,WSQAOA,10
0.9170317230421507,Max-Cut,Ideal,WS-Init-QAOA,5
0.9044840580678817,Max-Cut,Ideal,WS-Init-QAOA,6
0.9038454596580997,Max-Cut,Ideal,WS-Init-QAOA,7
0.8974611507284093,Max-Cut,Ideal,WS-Init-QAOA,8
0.8939705919701344,Max-Cut,Ideal,WS-Init-QAOA,9
0.8968055743161628,Max-Cut,Ideal,WS-Init-QAOA,10
0.8526830137149669,Max-Cut,Noisy,WS-Init-QAOA,5
0.8282714231279086,Max-Cut,Noisy,WS-Init-QAOA,6
0.8217530746963426,Max-Cut,Noisy,WS-Init-QAOA,7
0.8098949547936836,Max-Cut,Noisy,WS-Init-QAOA,8
0.7979984257327322,Max-Cut,Noisy,WS-Init-QAOA,9
0.7957550470745032,Max-Cut,Noisy,WS-Init-QAOA,10
0.9930916666666668,Max-Cut,Ideal,RQAOA,5
0.9893671626984127,Max-Cut,Ideal,RQAOA,6
0.9910614898989899,Max-Cut,Ideal,RQAOA,7
0.9874550012487506,Max-Cut,Ideal,RQAOA,8
0.981522675751536,Max-Cut,Ideal,RQAOA,9
0.9814749806619679,Max-Cut,Ideal,RQAOA,10
0.9894916666666668,Max-Cut,Noisy,RQAOA,5
0.9849152777777779,Max-Cut,Noisy,RQAOA,6
